filename,split,scene_id,source_id,material,lighting,shadow_level,hard_negative_tags,notes
000e77396ecd5d61.jpg,train,,,,,,,
00a601c5da2603d2.jpg,train,,,,,,,
00fa57709c61887a.jpg,train,,,,,,,
00fb75eb523cceec.jpg,train,,,,,,,
0a2b284d1efa9906.jpg,train,,,,,,,
0a6860d4775571d2.jpg,train,,,,,,,
0a7aa4121f0ccac0.jpg,train,,,,,,,
0c2cb3d5-0bdfd48d.jpg,train,,,,,,,
0d1fc580-44142e94.jpg,train,,,,,,,
1a924553-ed3a50a7.jpg,train,,,,,,,
1ac04b6e-29a11fc2.jpg,train,,,,,,,
1d6dd768-d9ade38a.jpg,train,,,,,,,
200d7f040cb1eb5e894baf8669adb359.jpg,train,,,,,,,
2018-10-08-20-52-06.jpg,train,,,,,,,
2173371_3.jpg,train,,,,,,,
2923179_2_1.jpg,train,,,,,,,
32as32as4a.png,train,,,,,,,
3_Video Project_000001.jpg,train,,,,,,,
3_Video Project_000002.jpg,train,,,,,,,
3_Video Project_000003.jpg,train,,,,,,,
3_Video Project_000004.jpg,train,,,,,,,
3_Video Project_000005.jpg,train,,,,,,,
3_Video Project_000006.jpg,train,,,,,,,
3_Video Project_000007.jpg,train,,,,,,,
3_Video Project_000008.jpg,train,,,,,,,
3_Video Project_000009.jpg,train,,,,,,,
3_Video Project_000010.jpg,train,,,,,,,
3_Video Project_000011.jpg,train,,,,,,,
3_Video Project_000012.jpg,train,,,,,,,
3_Video Project_000013.jpg,train,,,,,,,
3_Video Project_000014.jpg,train,,,,,,,
3_Video Project_000015.jpg,train,,,,,,,
3_Video Project_000016.jpg,train,,,,,,,
3_Video Project_000017.jpg,train,,,,,,,
3_Video Project_000018.jpg,train,,,,,,,
3_Video Project_000019.jpg,train,,,,,,,
3_Video Project_000020.jpg,train,,,,,,,
3_Video Project_000021.jpg,train,,,,,,,
3_Video Project_000022.jpg,train,,,,,,,
3_Video Project_000023.jpg,train,,,,,,,
3_Video Project_000024.jpg,train,,,,,,,
3_Video Project_000025.jpg,train,,,,,,,
3_Video Project_000026.jpg,train,,,,,,,
3_Video Project_000027.jpg,train,,,,,,,
3_Video Project_000028.jpg,train,,,,,,,
3_Video Project_000029.jpg,train,,,,,,,
3_Video Project_000030.jpg,train,,,,,,,
3_Video Project_000031.jpg,train,,,,,,,
3_Video Project_000032.jpg,train,,,,,,,
481154132_949837957226193_6129459020441505710_n.jpg,train,,,,,,,
513rty84.png,train,,,,,,,
514284150_754883657191907_1559791219587674610_n.jpg,train,,,,,,,
518001566_10227437469826460_8526992498023964257_n.jpg,train,,,,,,,
63988910-paving-stone-square-texture-closeup-view-on-cobblestone-road-with-white-lines-outdoor-street.jpg,train,,,,,,,
68780as.jpg,train,,,,,,,
87413arq.png,train,,,,,,,
8tk1z3mk12u91.jpg,train,,,,,,,
98743zz4s6.png,train,,,,,,,
a-dirt-road-leading-out-of-a-forest-in-jake-wyman.jpg,train,,,,,,,
a131xgfd.png,train,,,,,,,
after_photos_60-40_gravel_2.jpg,train,,,,,,,
agufdxj44e44e.png,train,,,,,,,
ahyyi4651.png,train,,,,,,,
appia_20200725161042.jpg,train,,,,,,,
Appia_antica_2-7-05_062.jpg,train,,,,,,,
asqweq1321.png,train,,,,,,,
asye1z37431.png,train,,,,,,,
belgian-paving-stones-for-test-track.jpeg,train,,,,,,,
CaWN3aQscHUWdB7fgDjnze.jpg,train,,,,,,,
cement-concrete-road-construction-services.jpeg,train,,,,,,,
cement-concrete-road-works.jpg,train,,,,,,,
cement-road-construction-service.jpeg,train,,,,,,,
Cobblestone_street_2_1073d9d9-9143-4d17-9b13-c08bd02056e2.jpg,train,,,,,,,
dftghfdh13.png,train,,,,,,,
ehicle-testing-at-Belgian-pave-test-track.png,train,,,,,,,
Ford-driving-hazard-test-road-in-Belgium.jpg,train,,,,,,,
forest-path-bob-van-den-berg-photography.jpg,train,,,,,,,
forest-road-2.jpg,train,,,,,,,
free-photo-of-dirt-road-in-deep-forest.jpeg,train,,,,,,,
Gravel_RatTrap-IMG_1716_COVER.jpg,train,,,,,,,
idrt31gta5.png,train,,,,,,,
img_051.jpg,train,,,,,,,
img_053.jpg,train,,,,,,,
img_056.jpg,train,,,,,,,
img_060.jpg,train,,,,,,,
img_072.jpg,train,,,,,,,
img_073.jpg,train,,,,,,,
img_096.jpg,train,,,,,,,
img_100.jpg,train,,,,,,,
img_101.jpg,train,,,,,,,
istockphoto-1179402735-612x612.jpg,train,,,,,,,
kk48kk741.png,train,,,,,,,
kuegfdfgh5447.png,train,,,,,,,
lssrt468.png,train,,,,,,,
mrqqerqer.png,train,,,,,,,
nn879n.png,train,,,,,,,
nqtyw4ya3.png,train,,,,,,,
nwerbgzfgdg4.png,train,,,,,,,
oiuyt564g.png,train,,,,,,,
ppr13r4wr2.png,train,,,,,,,
PRC forest road.jpg,train,,,,,,,
product-jpeg.jpg,train,,,,,,,
product-jpeg6541.jpg,train,,,,,,,
q2w22s2asd1.png,train,,,,,,,
qerhd1fae8r7.png,train,,,,,,,
qwe132as.png,train,,,,,,,
rome-via-appica-weg-3.jpeg,train,,,,,,,
Sett_block_paved_street_in_Philadelphia_PA.jpg,train,,,,,,,
Shaktiman-Road-Ardoi-2-1-min-766x1024.png,train,,,,,,,
Shaktiman-Road-Hadam-1-1-min-766x1024.png,train,,,,,,,
Shaktiman-Road-Hadam-2-1-min-766x1024.png,train,,,,,,,
tyrthb134.png,train,,,,,,,
via-appia-by-stijn-nieuwendijk.jpg,train,,,,,,,
we413dfg.png,train,,,,,,,
yorkshire-dales-gravel-v0-gipw5l6mf71f1.jpg,train,,,,,,,
zfgh443.png,train,,,,,,,
00e9750db73314ac.jpg,val,,,,,,,
138444.jpg,val,,,,,,,
1da45647-4d28c352.jpg,val,,,,,,,
1f2a3c1f-b412f8e2.jpg,val,,,,,,,
29.jpg,val,,,,,,,
2927257_1_1.jpg,val,,,,,,,
3055.jpg,val,,,,,,,
3574wa132.png,val,,,,,,,
360_F_309041299_fucpREMWXjdBrghlPefPXLAYrgkbn1FJ.jpg,val,,,,,,,
7.jpeg,val,,,,,,,
aehsj778d4s.png,val,,,,,,,
b85a12ccffe8e7c5a81eb5d437c50dbe.jpg,val,,,,,,,
Belgian-blocks-on-Chestnut-Street.jpg,val,,,,,,,
e896b385ab9bee3df9d5a97a04d32a00.jpg,val,,,,,,,
free-photo-of-dirt-road-in-forest.jpeg,val,,,,,,,
jq1w3eaqdft.png,val,,,,,,,
kjhjk111.png,val,,,,,,,
mw1m3wm4w.png,val,,,,,,,
Nissan-Belgisch-Block-01-min.jpg,val,,,,,,,
nnnqnqr54.png,val,,,,,,,
qwe74641a3sf.png,val,,,,,,,
qwewer24a7.png,val,,,,,,,
road-through-dense-forest.jpg,val,,,,,,,
rte1rt3h4.png,val,,,,,,,
rw13584sdddd.png,val,,,,,,,
steel-gravel-driveway.jpg,val,,,,,,,
TEC-gravel-road-ads278674305-1400x800-2.jpg,val,,,,,,,
tert1e313.png,val,,,,,,,
uuuw13.png,val,,,,,,,
via-appia (1).jpg,val,,,,,,,
w3t43w43t.png,val,,,,,,,
wrgt13u747.png,val,,,,,,,
x7a94r3rqw.png,val,,,,,,,
00c4b19bc9614fa5.jpg,test,,,,,,,
0c90a09f-9a869a38.jpg,test,,,,,,,
0fee1f42-a259393c.jpg,test,,,,,,,
1200-1-1s.jpg,test,,,,,,,
1b53c663-f78b6ac7.jpg,test,,,,,,,
360_F_174625024_XCxdrE6UmdJWb2JUraEtokwYAHdxMx6j.jpg,test,,,,,,,
4236068_1_1.jpg,test,,,,,,,
517998420_10227437467826410_5432485218604701920_n.jpg,test,,,,,,,
concreteroadway.jpg,test,,,,,,,
forestroadmanagement.jpg,test,,,,,,,
jj874aa.png,test,,,,,,,
l4ww1ss6.png,test,,,,,,,
oiug31r54.png,test,,,,,,,
via-appia-antica-in-rome-in-italy-a-archeological-roman-road-photo.jpg,test,,,,,,,
Via-Appia.jpg,test,,,,,,,
wrtywert147774.png,test,,,,,,,
